nameEn,nameTc,nameSc,performanceTime,duration,filmEventTypeId,stockLabel,facilityNameTc
"Quiet Life","放棄生存症候群","放弃生存症候群",1745140500000,"99 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Ravens","鴉","鸦",1744371000000,"116 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Ravens","鴉","鸦",1745243100000,"116 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Red Envelope","關於我和鬼變成家人的那封利是","关于我和鬼变成家人的那封利是",1745068500000,"128 /分鐘",0,4,"香港文化中心大劇院"
"The Red Envelope","關於我和鬼變成家人的那封利是","关于我和鬼变成家人的那封利是",1745218800000,"128 /分鐘",0,2,"英皇戲院 銅鑼灣 時代廣場2院"
"The Return of the Projectionist","放戲不放棄","放戏不放弃",1744690500000,"88 /分鐘",0,1,"PREMIERE Elements 1院"
"The Return of the Projectionist","放戲不放棄","放戏不放弃",1745130600000,"88 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Riefenstahl","公審萊芬斯坦","公审莱芬斯坦",1744872300000,"115 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Riefenstahl","公審萊芬斯坦","公审莱芬斯坦",1745037000000,"115 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Run Papa Run","一個好爸爸","一个好爸爸",1744785000000,"115 /分鐘",0,1,"WESTK M+戲院"
"Sanatorium Under the Sign of the Hourglass","暗黑砂漏療養院","暗黑砂漏疗养院",1744439400000,"75 /分鐘",0,3,"香港藝術中心古天樂電影院"
"Sanatorium Under the Sign of the Hourglass","暗黑砂漏療養院","暗黑砂漏疗养院",1745236800000,"75 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Santosh","執法迷宮","执法迷宫",1744362900000,"125 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Santosh","執法迷宮","执法迷宫",1744535700000,"125 /分鐘",0,4,"PREMIERE Elements 7院"
"Sato and Sato","佐藤妻夫物語","佐藤妻夫物语",1744525800000,"114 /分鐘",0,1,"香港文化中心大劇院"
"Sato and Sato","佐藤妻夫物語","佐藤妻夫物语",1744723800000,"114 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Seeds","種不出的未來","种不出的未来",1744811100000,"123 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Seeds","種不出的未來","种不出的未来",1745055000000,"123 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Separated","美國式分離","美国式分离",1744452000000,"93 /分鐘",0,3,"香港藝術中心古天樂電影院"
"Separated","美國式分離","美国式分离",1744967700000,"93 /分鐘",0,1,"WESTK M+戲院"
"Seven Samurai","七俠四義","七侠四义",1744802100000,"207 /分鐘",0,1,"香港文化中心大劇院"
"Seven Samurai","七俠四義","七侠四义",1745122500000,"207 /分鐘",0,4,"PREMIERE Elements 1院"
