group,id,name_cn,name_en,date,weekday,stime,etime,length,cinema,hallsName,director,country,resolution,color,show_type,remarks
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,分辨率,色彩,场次类型,备注
SIFF经典-4K 修复,22436,禁忌的游戏 (4K),FORIBIDDEN GAMES (4K),6月18日,周三,15:30,,87分钟,上海大光明电影院,2号厅,雷内·克莱芒,法国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,21925,异邦人：无皇刃谭 (4K),SWORD OF THE STRANGER (4K),6月18日,周三,13:00,,102分钟,上海影城SHO,1号厅杜比剧场,安藤真裕,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,23644,牧马人 (4K),THE HERDSMAN (4K),6月18日,周三,15:30,,99分钟,国泰电影院,2号厅,谢晋,中国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,24547,巴里·林登 (4K),BARRY LYNDON (4K),6月18日,周三,09:00,,185分钟,天山电影院-虹桥艺术中心旗舰店,剧院厅,斯坦利·库布里克,"英国,美国",4K,彩色,普通场,本片含一个15分钟的场间休息
SIFF经典-4K 修复,21931,家有囍事（修复加长版）(4K),"ALL'S WELL, ENDS WELL  (4K)",6月19日,周四,13:00,,106分钟,上海影城SHO,1号厅杜比剧场,高志森,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,21932,金玉满堂 (4K),THE CHINESE FEAST (4K),6月19日,周四,15:30,,107分钟,上海影城SHO,1号厅杜比剧场,徐克,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,24573,夜 (4K),THE NIGHT (4K),6月19日,周四,18:00,,123分钟,上海影城SHO,1号厅杜比剧场,米开朗基罗·安东尼奥尼,"意大利,法国",4K,黑白,普通场,N/A
SIFF经典-4K 修复,23292,琳达！琳达！琳达！(4K),LINDA LINDA LINDA (4K),6月19日,周四,15:30,,114分钟,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,山下敦弘,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,23291,日落大道 (4K),SUNSET BOULEVARD (4K),6月19日,周四,13:00,,110分钟,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,比利·怀尔德,美国,4K,黑白,普通场,N/A
SIFF经典-4K 修复,23563,禁忌的游戏 (4K),FORIBIDDEN GAMES (4K),6月19日,周四,18:30,,87分钟,上海百丽宫影城（长宁来福士店）,激光3号厅,雷内·克莱芒,法国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22563,异邦人：无皇刃谭 (4K),SWORD OF THE STRANGER (4K),6月19日,周四,18:30,,102分钟,艺海剧院,大剧场,安藤真裕,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22448,牧马人 (4K),THE HERDSMAN (4K),6月20日,周五,15:30,,99分钟,上海大光明电影院,2号厅,谢晋,中国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,24540,巴里·林登 (4K),BARRY LYNDON (4K),6月20日,周五,09:00,,185分钟,上海影城SHO,1号厅杜比剧场,斯坦利·库布里克,"英国,美国",4K,彩色,普通场,本片含一个15分钟的场间休息
SIFF经典-4K 修复,23048,扶桑花女孩 (4K),HULA GIRLS (4K),6月20日,周五,15:30,,121分钟,久事·上海商城剧院,剧院正厅,李相日,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,23240,谋杀绿脚趾 (4K),THE BIG LEBOWSKI (4K),6月20日,周五,20:40,,117分钟,和平影都,杜比全景声厅,"乔尔·科恩, 伊桑·科恩","美国,英国",4K,N/A,普通场,N/A
SIFF经典-4K 修复,24571,夜 (4K),THE NIGHT (4K),6月20日,周五,18:00,,123分钟,和平影都,杜比全景声厅,米开朗基罗·安东尼奥尼,"意大利,法国",4K,黑白,普通场,N/A
SIFF经典-4K 修复,23884,琳达！琳达！琳达！(4K),LINDA LINDA LINDA (4K),6月20日,周五,20:40,,114分钟,嘉定影剧院,三号剧院大厅,山下敦弘,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,22810,死之棘（4K）,THE STING OF DEATH (4K),6月20日,周五,20:40,,115分钟,沪北电影院,1号厅,小栗康平,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,21943,巴里·林登 (4K),BARRY LYNDON (4K),6月21日,周六,13:00,,185分钟,上海影城SHO,1号厅杜比剧场,斯坦利·库布里克,"英国,美国",4K,彩色,普通场,本片含一个15分钟的场间休息
SIFF经典-4K 修复,23304,小河马雨果 (4K),HUGO THE HIPPO (4K),6月21日,周六,15:30,,91分钟,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,"比尔·费根鲍姆, 约瑟夫·杰梅斯","匈牙利,美国",4K,彩色,普通场,N/A
SIFF经典-4K 修复,24159,死之棘（4K）,THE STING OF DEATH (4K),6月21日,周六,20:40,,115分钟,上海百丽宫影城（陆家嘴中心店）,LUXE厅,小栗康平,日本,4K,N/A,普通场,N/A
